pow_hashrate_THs,blk
8.901590487,148964
11.16897674,149320
8.247236133,149691
7.517392227,150059
7.663361008,150386
7.955298571,150759
8.685142476,151077
8.73436486,151469
8.554891609,151895
7.836998607,152317
8.674540443,152768
8.794189277,153174
7.884158164,153617
7.647040625,154012
8.002716933,154413
7.70632001,154795
7.350643702,155156
10.03065755,155638
7.428108565,156072
7.97030627,156539
8.512503976,156994
7.406827445,157405
7.11974111,157788
8.670007319,158241
7.923582848,158672
9.99060446,159133
8.649061209,159610
9.283325697,160041
9.340986105,160504
9.80226937,160971
10.01025622,161482
10.32113374,161931
9.20197466,162360
8.828921633,162820
11.1294153,163279
8.77601647,163724
9.036046588,164151
10.79124988,164635
10.59622729,165085
9.327239883,165542
9.052909298,165970
9.464405175,166403
9.327239883,166836
9.73873576,167260
9.988788097,167729
11.49394795,168183
10.39928624,168647
12.72544237,169140
8.855409941,169538
11.01345102,169957
12.35292479,170435
12.57617042,170900
9.599562037,171318
11.61897621,171801
12.06585992,172262
12.81066608,172730
11.02313128,173194
12.12846182,173639
10.26876434,174067
9.621913043,174454
11.80503617,174869
11.56246693,175303
10.43232114,175692
11.13826769,176084
12.15796825,176525
11.60889871,176954
12.07952974,177374
12.44873829,177840
11.5488295,178339
11.6988143,178824
13.94858628,179334
10.59746018,179772
12.32062444,180179
10.16666911,180546
12.23446622,180978
10.42514375,181349
10.67752332,181737
10.75661609,182164
11.94300757,182585
11.94300757,183053
9.965688435,183492
13.3790336,183970
12.74943202,184416
12.59203163,184887
14.32343598,185373
12.10176058,185792
13.13169765,186241
11.58679204,186690
11.84427631,187110
13.84337907,187572
14.80109712,188037
13.14685686,188503
14.01750963,188950
12.88566102,189401
13.26737055,189863
12.89625529,190307
14.28793751,190769
15.77239855,191269
13.46538137,191741
17.51512013,192202
14.27532912,192637
16.09771157,193137
18.40554294,193620
18.62336001,194104
16.11846364,194547
19.7124454,195076
16.98973194,195545
18.07742531,196007
19.16935033,196480
18.56272532,196945
21.83850037,197435
18.74905902,197919
21.15965232,198373
21.69533972,198820
23.57024562,199293
20.92944794,199753
21.21420234,200237
20.35993916,200669
23.91936908,201156
19.36329878,201592
20.65110469,201992
25.20649543,202450
20.9547974,202879
20.9547974,203303
21.53435778,203769
21.07617995,204219
20.92345401,204667
24.58887661,205137
24.13069879,205636
22.17516038,206060
26.28167156,206506
25.78889022,206958
26.28167156,207408
22.77487591,207827
23.61218753,208251
20.59786571,208683
24.61696146,209126
23.61218753,209586
28.89039649,210063
27.35185466,210521
18.97534917,210923
21.19768736,211311
24.27477101,211718
22.78443985,212123
19.26625428,212456
23.95716837,212857
24.12470102,213242
20.60651545,213620
26.06886297,214099
24.88391466,214567
23.69896634,215044
21.03283263,215483
21.64582213,215914
19.22278234,216300
20.51507022,216711
20.19199825,217074
23.58425396,217490
23.90732593,217916
22.43195058,218360
21.39890022,218818
23.76015818,219311
28.00576717,219828
24.74928262,220279
25.88905221,220742
26.70317335,221203
30.28530636,221759
31.39824966,222272
29.40182916,222782
28.13137975,223308
34.30627041,223821
37.9974514,224306
33.00350064,224760
40.16873434,225272
33.43775723,225728
42.41210107,226254
47.47263586,226823
54.22001557,227481
45.26778087,228031
59.58038805,228496
52.25765879,229012
59.24753672,229566
64.07971834,230041
64.07971834,230536
65.98685282,231060
61.02830318,231544
72.71669197,232039
77.62395339,232506
78.07006806,232989
70.93223327,233479
74.63339018,233979
73.63159971,234401
81.64592348,234891
83.14860919,235388
89.15935203,235910
81.74987297,236379
81.74987297,236837
82.86211614,237273
90.09169674,237772
103.9136922,238276
102.101244,238781
123.2464721,239368
156.7035621,239978
130.327715,240501
136.5337967,241014
133.4307558,241583
148.0494004,242086
140.3585225,242516
169.1993148,243025
181.6969915,243506
170.754179,244011
166.5118392,244474
187.7235384,245009
197.2688031,245574
249.7082121,246128
211.9918675,246611
219.7952492,247123
243.205394,247641
225.2998321,248146
276.5749663,248615
257.929463,249142
287.4515099,249706
317.8555672,250247
327.1495897,250812
369.9020929,251422
484.9527656,252037
434.4368525,252543
449.5916264,253104
525.365496,253706
467.3888102,254236
545.8316874,254749
702.7174419,255366
604.6638454,255996
821.0781131,256523
834.0425044,257028
898.8644606,257632
1024.579581,258235
845.4181239,258733
1046.974763,259312
1125.3579,259937
1302.020289,260483
1213.246178,260993
1538.75125,261570
1900.662831,262154
1721.887615,262650
1853.616722,263241
2333.487041,263972
2302.45572,264541
2675.107513,265174
2781.579453,265855
3439.672053,266451
3808.902386,266981
4216.99907,267602
3303.639825,268163
3377.99452,268604
4952.698733,269110
4292.338902,269662
5847.426832,270208
4938.500381,270689
4908.202833,271181
4968.79793,271681
6505.60945,272208
5731.969408,272738
6013.29306,273279
6294.616711,273877
7134.389874,274410
9030.873258,274945
8895.410159,275526
9121.181991,276129
9333.937661,276630
10508.01787,277141
8805.601567,277643
11740.80209,278205
10435.93771,278641
13185.94832,279197
14243.64471,279784
18058.64887,280370
17791.77229,280901
16368.43051,281396
16902.18368,281949
16903.79922,282480
18103.42368,282960
20066.44552,283472
21157.01322,284028
21761.8906,284550
19676.91905,285025
21761.8906,285523
23455.92999,286079
25980.5117,286592
26136.08362,287121
28314.09059,287660
28314.09059,288193
28262.41817,288658
30538.58608,289111
33194.1153,289618
31866.35069,290114
29367.84755,290591
37607.74722,291088
35283.67296,291571
43312.29315,292141
39324.9976,292645
42560.59867,293167
44551.73779,293658
50027.37037,294254
44415.13216,294727
53237.31594,295177
60538.43356,295694
45327.77186,296228
56547.98442,296716
53425.70307,297219
56894.90457,297717
57588.74487,298209
66817.88587,298693
60454.27769,299147
64829.25832,299625
70397.41547,300141
74817.97102,300619
80099.23956,301121
77898.711,301634
73497.65388,302158
78483.25676,302638
91996.9301,303101
79003.01342,303556
97714.25344,304102
86494.36212,304574
79481.30574,305021
90585.31168,305506
108702.374,306037
113768.8429,306567
126484.1841,307106
132507.2405,307650
125145.7271,308205
104506.2812,308676
111194.6832,309085
124571.4872,309545
132931.9897,310011
137948.2912,310473
118927.4328,310927
137025.0856,311415
128407.1557,311902
128407.1557,312333
149954.3634,312783
162993.8733,313254
157405.5119,313728
122943.9502,314145
157903.3291,314627
178499.4155,315168
166730.2233,315667
161826.3932,316160
187281.3463,316713
186096.0214,317197
196763.9462,317653
196763.9462,318165
204522.6957,318671
227701.9345,319145
223611.4806,319624
212703.6035,320071
241336.7809,320576
250600.6489,321063
240220.7404,321599
232806.52,322107
241703.5845,322585
239501.0072,322983
249839.1801,323428
246393.1225,323866
260177.3531,324330
276657.2683,324777
266217.3713,325224
260997.4229,325655
233157.6978,326094
297537.0621,326543
271906.0938,327008
268328.3821,327430
336304.9055,327943
277272.6615,328426
285462.7945,328880
273650.541,329333
265775.7052,329756
295306.3392,330195
295306.3392,330643
248412.3463,331049
310515.4329,331492
262435.624,331902
312518.7583,332367
242402.3702,332763
288373.4095,333202
276440.7167,333633
282407.0631,334065
304283.6666,334493
272641.7557,334893
284410.4645,335296
296179.1734,335763
313832.2367,336225
286371.916,336713
323243.6531,337195
339405.8358,337685
272736.8323,338130
296980.1063,338572
330062.3197,338986
299460.5152,339414
262301.1812,339829
271044.5539,340237
277602.0835,340615
348786.5672,341092
348786.5672,341551
330321.396,341996
352889.9386,342491
331483.6071,342928
309384.7,343351
349162.7328,343808
362422.0771,344290
333693.4978,344741
362028.0977,345171
313293.5461,345615
357386.7119,346071
366669.4836,346491
311208.0239,346931
313565.6604,347368
346572.572,347788
332426.7528,348208
337142.0259,348632
387831.1122,349092
399442.8222,349573
329772.5625,350016
341384.2724,350464
371157.0054,350911
292501.2162,351314
336745.0976,351739
388362.9593,352172
329371.1174,352558
408026.9066,353003
326609.2919,353438
352643.3659,353869
305308.6859,354286
347909.8979,354715
364728.3889,355138
350518.1919,355590
352886.5581,356006
331571.2626,356472
419738.3697,356922
344525.1358,357341
291148.0021,357746
327541.5024,358177
380918.6361,358601
332393.9691,359017
335928.1799,359450
395070.4651,359915
373779.2424,360392
373779.2424,360828
303837.2967,361238
397705.7298,361699
365592.8448,362110
395235.5079,362558
363122.6229,362982
356089.185,363402
380647.0598,363869
363456.5474,364326
383102.8473,364774
368157.8914,365205
345306.7119,365636
363079.8515,366084
373235.9313,366521
397611.6003,366984
369025.1454,367413
361228.8395,367850
382018.9886,368313
363827.6082,368725
353662.6557,369165
322225.9752,369620
351042.9323,370046
379859.8895,370472
403437.3998,370943
423446.5405,371390
401869.6467,371823
388384.0881,372288
415355.2053,372759
427538.3894,373208
393561.8286,373640
489828.7508,374118
450189.4299,374556
399224.5888,375002
353949.157,375402
442436.4463,375849
448335.5989,376300
510276.7014,376766
377880.2205,377201
447410.1811,377652
414156.7217,378067
453456.2646,378499
459502.3481,378930
396478.2309,379376
384372.0253,379814
466088.9126,380255
460035.8099,380719
458010.0135,381156
