,date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,blk,PriceRealised,btc_blk_est,DailyIssuedNtv,DailyIssuedUSD,inf_pct_ann,S2F,notes,blk_reward,Sply_ideal,PoWSply_ideal,inflation_ideal,S2F_ideal
1431,2015-09-07 00:00:00+00:00,10185.0,612.0,2135473.0,3489.33496732026,0.45975101,129049875.15294829,280695144.9414704,42838.0670064536,0.0107322983595581,0.03283102507704948,0.001,0.00305908613207817,32.0573752,98.06627190514665,15300.0,13.2378791411797,46804.017820796,15300.0,46804.017820796,33.56711713,17.726355307690916,0.012712630040911756,3.05908613207817,-40.15487487286668,-21.237045505753127,42185760.57722151,2987.0,10432.0,1256758.5239532,3844532.5719962646,836.169296199172,2557.9138980724506,0.114059115,0.3489166569336092,8722918.09794976,26684157.7846918,0.07351028786252153,0.047704144456165776,0.09553442222653935,847487.0,6.653788887547843,350208.0,15300.0,46804.017820796,0.13237879141179662,7.554080146337455,,25.0,42187150.0,42187150.0,0.12458770028314309,8.026474505327245
1432,2015-09-08 00:00:00+00:00,9568.0,619.0,2194719.0,3545.58804523425,0.45942195,128963039.01283455,280707177.9020465,42838.0670064536,0.0139760869233279,0.04270961782248772,0.001,0.0030559067109979,42.83670642,130.90497862592483,15475.0,13.3843829990816,47290.1563526925,15475.0,47290.1563526925,39.72503765,17.700743046628435,0.012515234170075957,3.0559067109979,-39.04592896504743,-22.314225421392,42201235.57722151,3065.0,9806.0,1062333.43173257,3246391.86334899,592.167113660907,1809.607456668622,0.37013115,1.1310862652343703,5806790.71655885,17745010.720092494,0.07349967683398209,0.04756425926490395,0.06396806370721098,848106.0,6.65163410650376,350352.0,15475.0,47290.1563526925,0.1338438299908157,7.471394087188177,,25.0,42202625.0,42202625.0,0.12454201604757997,8.029418759512938
1433,2015-09-09 00:00:00+00:00,8307.0,623.0,1962233.0,3149.65168539326,0.44225671,124113470.16901584,280636715.1073758,42838.0670064536,0.0137076774822191,0.040299288293319045,0.001,0.00293990636601957,38.54598908,113.32159868081283,15575.0,13.4659035637034,45789.0416507548,15575.0,45789.0416507548,43.07939523,17.01211746573044,0.012315164341320895,2.93990636601957,-41.92916028285232,-25.681604156663397,42216810.57722151,2812.0,8408.0,979976.86249469,2881040.216600024,389.579563323921,1145.3274382871195,0.68326264,2.0087281849993377,3275584.96842753,9629913.101118108,0.07352535458746545,0.047800974119178045,0.06408185846685276,848729.0,6.647511057095252,350496.0,15575.0,45789.0416507548,0.13465903563703435,7.426163385689485,,25.0,42218200.0,42218200.0,0.12449607041512901,8.03238203957382
1434,2015-09-10 00:00:00+00:00,7651.0,600.0,1912924.0,3188.20666666667,0.44325469,124375365.30496266,280595710.91477215,45614.8112254433,0.0116897509841954,0.03442705934487086,0.001,0.00294506353398087,32.54426674,95.84493321612048,15000.0,12.9641611978461,44175.95300971305,15000.0,44175.95300971305,35.61886166,17.02149144075013,0.012335319989479834,2.94506353398087,-44.45098852840684,-28.98176194830594,42231810.57722151,2784.0,8129.0,1185658.62607639,3491839.983407436,499.41212787772,1470.8004462404642,0.69475498,2.0460975566496087,4059721.18751799,11956136.827488746,0.07352462535177073,0.046636211796651665,0.05825423835614771,849329.0,6.64417904606999,350640.0,15000.0,44175.95300971305,0.1296416119784606,7.713572708168313,,25.0,42233200.0,42233200.0,0.12445185304452422,8.035235920852358
1435,2015-09-11 00:00:00+00:00,9496.0,581.0,2039917.0,3511.04475043029,0.4449126,124859458.7017095,280638169.0353532,45642.8591468472,0.0130785684172414,0.03865383709280837,0.001,0.00295550979737593,37.92784841,112.09612756914409,14525.0,12.5493132778563,42928.77980688538,14525.0,42928.77980688538,62.57770116,17.104502111712094,0.012271418122735231,2.95550979737593,-45.50603540177702,-27.094239142051663,42246335.57722151,2900.0,10791.0,675102.06975948,1995270.7814029118,290.337251964393,858.0945927239675,0.04921513,0.14545579889413005,3133029.28594776,9259698.750084318,0.07352190982599024,0.046663277498780124,0.05660904339841052,849910.0,6.642899678775178,350784.0,14525.0,42928.77980688538,0.12549313277856325,7.968563521037703,,25.0,42247725.0,42247725.0,0.12440906581360298,8.037999429223744
1436,2015-09-12 00:00:00+00:00,8995.0,507.0,1899384.0,3746.31952662722,0.43145436,121071871.59242946,280613390.85163313,45642.8591468471,0.0135893802239075,0.03893351204906051,0.001,0.00286499541609452,37.62899384,107.80689486384892,12675.0,10.9476652122417,36313.81689899804,12675.0,36313.81689899804,95.35262488,16.652010132420713,0.012121739821991193,2.86499541609452,-46.348672471665246,-26.49151283997692,42259010.57722151,2769.0,10158.0,443186.65194904,1269727.726308277,133.249553953589,381.7593612736719,0.073032945,0.2092390526488832,1353548.96906056,3877911.5918179676,0.07356215214092572,0.04651199573410654,0.056656971146151175,850417.0,6.640320892957432,350928.0,12675.0,36313.81689899804,0.10947665212241653,9.134367745204726,,25.0,42260400.0,42260400.0,0.12437175227872903,8.04041095890411
1437,2015-09-13 00:00:00+00:00,21144.0,588.0,3055286.0,5196.06462585034,0.42230387,118484177.91251288,280566163.3526067,45283.6821284326,0.00734663166339961,0.02059103876093083,0.001,0.00280278632499216,26.23482167,73.53059941528399,14700.0,12.6922854103352,41200.958977384755,14700.0,41200.958977384755,61.69562614,16.35818268790332,0.012157017825832854,2.80278632499216,-48.47837745618639,-30.44325884135003,42273710.57722151,3571.0,23761.0,685197.85316061,1920463.1727525438,125.68846021263,352.27789749328053,0.01427015,0.03999618127558687,2986483.5031123,8370475.122337835,0.07355726419412056,0.04581624482625664,0.05551817068193461,851005.0,6.636894644961333,351072.0,14700.0,41200.958977384755,0.12692285410335166,7.8788017104131045,,25.0,42275100.0,42275100.0,0.12432850543227573,8.043207762557078
1438,2015-09-14 00:00:00+00:00,9849.0,632.0,2593282.0,4103.29430379747,0.44586584,120254182.80110745,269709343.0928467,44811.3784900459,0.0116208903224734,0.033045089670606265,0.001,0.00284359362782222,34.95563809,99.39962972918367,15800.0,13.6369513888541,44928.77931959108,15800.0,44928.77931959108,37.97333688,16.8277933331457,0.012312658485096417,2.84359362782222,-47.20757033032069,-27.871648374687712,42289510.57722151,3008.0,10278.0,1113663.27135197,3166805.7819561097,363.785586676246,1034.458376166141,0.102727515,0.2921153070560115,3738988.25985846,10632163.190235607,0.07298407531237454,0.046028829184739925,0.05236086385361195,851637.0,6.3776889212361985,351216.0,15800.0,44928.77931959107,0.13636951388854074,7.333017266728198,,25.0,42290900.0,42290900.0,0.12428205595057093,8.046213850837137
1439,2015-09-15 00:00:00+00:00,8733.0,593.0,1796465.0,3029.45193929174,0.44265998,119371435.68375216,269668458.8499277,44811.3784900459,0.0166450920255122,0.04696796451386474,0.001,0.00282173054026233,43.06085307,121.50612419736791,14825.0,12.790946663428,41832.155259389045,14825.0,41832.155259389045,89.87414422,16.964185362147244,0.012247169308591451,2.82173054026233,-45.4646849526288,-29.002801653201843,42304335.57722151,2587.0,9159.0,470706.40776143,1328206.6462776004,122.167532620059,344.7238578225149,0.10654278,0.3006350161704506,1118932.43126712,3157325.813796413,0.0729820669067421,0.0458943551465632,0.05195921837739281,852230.0,6.374487512223898,351360.0,14825.0,41832.155259389045,0.12790946663428002,7.818029629184599,,25.0,42305725.0,42305725.0,0.12423850436318017,8.049034436834093
1440,2015-09-16 00:00:00+00:00,8893.0,595.0,2161130.0,3632.1512605042,0.43898105,118373410.25352745,269654946.2148097,45032.8037122901,0.0128451208736559,0.0359297997810915,0.001,0.00279715544403946,38.22707972,106.92708414852844,14875.0,12.8295753298441,41607.687230086965,14875.0,41607.687230086965,74.68661888,17.012881118765872,0.012212344205143182,2.79715544403946,-45.22954499805893,-30.077779999748422,42319210.57722151,2976.0,8163.0,566623.73011236,1584934.6514057335,239.046413816367,668.6499777845605,0.497,1.3901862556876117,1951335.875983,5458189.768655357,0.0729841643478398,0.0457732226022692,0.05125425110449359,852825.0,6.371927607741166,351504.0,14875.0,41607.687230086965,0.12829575329844134,7.794490264021459,,25.0,42320600.0,42320600.0,0.12419483655713766,8.051864535768646
