,date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,blk,PriceRealised,btc_blk_est,CapAvg,PriceAvg,CapDelta,PriceDelta,CapTop,PriceTop,NVT_28,NVT_90,NVTS,RVT_28,RVT_90,RVTS,DailyIssuedNtv,DailyIssuedUSD,inf_pct_ann,S2F,CapS2Fmodel,PriceS2Fmodel,CapInflow,PriceInflow,CapFee,PriceFee,MinerIncome,FeesPct
391,2017-03-05 00:00:00+00:00,10066.0,291.0,2857301.0,9818.90378007,1.60000724,10400578.922572054,6500332.429893979,1906133.86989377,0.00842878348263473,0.01828964584949886,0.00419,0.009091895202585692,35.19017104,76.35927142165775,138.17420548,105.70552825362692,0.001710011705435418,2.16990338963859,,-18.54862676131737,4793106.90615785,5624.0,7567.0,34688.86895109,75271.49431969904,26.30219516,57.073222432619716,10.23194219,22.2023260406671,199028.71078708,431873.0741722835,0.08257028531284735,0.08617891912945508,0.12669525710317037,112997.0,1.3561834854012549,428688.0,3603098.101387266,0.7517249608512292,2897234.328506713,0.6044585245500257,43237177.21664719,9.020699530214749,23.661439278660097,16.597938475527208,22.747381583738992,12.88908797980593,10.469915145590594,14.217049195506187,7557.8934249999,16399.898561434497,0.5755413251018595,1.7374946965329026,14027928.211144462,2.9266879470437757,3079137.7670992906,0.6424095742874896,52149.76261195257,0.010880158451077772,3131287.529711243,0.01665441519411079
392,2017-03-06 00:00:00+00:00,7616.0,259.0,3200917.0,12358.75289575,1.54814534,10095338.112470504,6520924.009480222,1858866.49367097,0.0103728668679475,0.02181937586238632,0.00419,0.008813685360784812,34.01263046,71.54573345276505,97.78331307,115.10005037875165,0.0016481612741087092,2.10350485937585,,-29.633768288253705,4799293.93434631,4466.0,6242.0,49080.90944637,103241.93152302536,29.75466466,62.58908170140887,8.710980715,18.323590263931816,185728.6167852,390681.04793282325,0.08260335194263553,0.08629384112068496,0.12113974888754585,113256.0,1.3587256997978407,428832.0,3619617.796071956,0.7541979811171886,2901306.213408266,0.6045277186806521,43435413.55286347,9.050375773406262,22.894446988251072,16.664261147096497,21.626530437581145,12.744516050280989,10.473095792696759,13.969315341501371,6187.028188459575,13014.443859520079,0.4705411503609714,2.1252126391769544,27376835.762107518,5.704346542766273,3092152.2109588105,0.6442931508799072,52221.308345405334,0.01088103980706032,3144373.519304216,0.01660785782121738
393,2017-03-07 00:00:00+00:00,7080.0,293.0,2056467.0,7018.65870307,1.68356153,11129595.100337634,6610744.484025911,1698031.22809883,0.00931688338108883,0.02157203990180584,0.003,0.00694611245610057,19.5095538,45.171851554381405,74.18975537,159.32934920818047,0.0018057027960257117,2.31537081870019,,9.098016538832752,4806830.51304309,3539.0,4097.0,64791.02793961,150015.2554049617,29.75165868,68.88612231560022,4.57114872,10.583904354226725,121892.54559324,282226.44308367034,0.08290023955592882,0.07514546154854702,0.11965927685837588,113549.0,1.3752813763847078,428976.0,3638678.6521741534,0.7569808509579824,2972065.831851758,0.6183005254267253,43664143.826089844,9.08377021149579,24.246650944959672,16.81330643024436,25.314411454494632,13.662397920827432,10.510332558558074,15.036225880677906,7536.578696779907,17449.974387361704,0.5722796376656867,1.7473974857448593,14295089.734049719,2.9739117481385544,3109602.185346172,0.6469132158723768,52266.48019695972,0.010873376969530606,3161868.665543132,0.016530250217708396
394,2017-03-08 00:00:00+00:00,8663.0,326.0,2836117.0,8699.74539877,2.29294586,15761633.07819995,6873966.506991152,1826620.60880522,0.00686731897801884,0.02247869522435803,0.003,0.00981985632077466,24.05621838,78.74286937092619,92.96388469,133.76734401578548,0.0026515575961426003,3.27328544025822,,7.592795812960188,4815233.30790136,5114.0,6380.0,51796.81683613,169545.76640142617,28.9710328,94.83045985348333,5.57654897,18.253636550387974,184835.189285,605018.3339339626,0.0867700878152465,0.09808043670232429,0.12658761839847596,113875.0,1.4275458876959497,429120.0,3669369.6760375095,0.7620336215103861,3204596.8309536423,0.6655122661855637,44032436.112450115,9.144403458124634,23.600507234428125,16.961474933395323,34.44929027352433,13.266878194122777,10.470696007204989,15.024031225377716,8402.794858270325,27504.74606705289,0.6369411256222969,1.5700038194628922,10019779.397770867,2.0808502427762576,3137106.931413225,0.6514963514364959,52345.22306633064,0.010870755313234125,3189452.1544795553,0.0164119794030496
395,2017-03-09 00:00:00+00:00,7462.0,246.0,2339837.0,9511.53252033,1.93207374,13411716.406556122,6941617.266771526,2097916.7031102,0.0104220707707708,0.028990078710578362,0.00306,0.008511709698149456,31.2349461,86.88326589560312,194.94913179,150.33189544781123,0.0024142950952659153,2.78160447651943,,21.17626943804214,4821575.64807271,4213.0,5257.0,24732.48074377,68795.97915230124,27.73453542,77.14650787845869,7.74031698,21.530500361247356,145800.45268086,405559.1918556395,0.08765791679840129,0.09885154685755661,0.12615783027120847,114121.0,1.4396989228088215,429264.0,3693971.561720637,0.7661336939092097,3247645.705050889,0.6735652288996118,44327658.740647644,9.193604326910515,24.43985759678624,17.1441165846556,30.196793484742965,13.803076676284102,10.500783459735553,15.629213793423089,6342.340171350166,17641.881812236632,0.48012399504053177,2.0827952994008987,25604601.327377558,5.310421985728313,3154748.8132254616,0.654298313143025,52432.10633222624,0.010874475515734054,3207180.919557688,0.016348346927512063
396,2017-03-10 00:00:00+00:00,10237.0,303.0,3014842.0,9949.97359736,2.10537319,15121103.899721729,7182148.966479648,1915393.61628845,0.00743652993983455,0.02328396445491474,0.003,0.00939307633128393,29.66431793,92.87973421065483,105.28667297,144.72163359703512,0.002623495701344234,3.13102544376131,,18.624684748244853,4829441.39909534,5497.0,7117.0,45869.44636941,143618.40367386755,52.89386062,165.61202341998438,4.79698019,15.019467028108963,376445.60603567,1178660.770689829,0.08807280515646883,0.1010851943777591,0.12447085378669269,114424.0,1.4871593571515376,429408.0,3722755.2703805896,0.7708459349103901,3459393.6960990583,0.7163134222411475,44673063.244567074,9.250151218924682,22.794388996099656,17.03446583782148,31.49298858453197,12.901094262745978,10.333442409490203,14.958387754872456,7865.75102262944,24627.86658614432,0.5944785092117583,1.6821465948801717,12598590.92284481,2.6087056207380015,3179376.679811606,0.6583321790398312,52524.9860664369,0.010875996150667856,3231901.665878043,0.016252037189431908
397,2017-03-11 00:00:00+00:00,10069.0,297.0,3048565.0,10264.52861953,2.01797847,14702148.622553706,7285582.4995960295,1935008.04693875,0.0128321483687068,0.03900241685526695,0.00419,0.012735211745376484,51.99586519,158.03779309754185,57.23910823,153.33494624293002,0.0027668152881355945,3.03943001082971,,20.600780608572443,4837140.04605103,5528.0,7215.0,84507.60670443,256854.95596083856,38.43280275,116.8138140786486,9.93886867,30.208495709293164,277292.67180885,842811.6684789722,0.08806887481825328,0.10126723188858662,0.12443414561461916,114721.0,1.506175638959197,429552.0,3750341.685838311,0.7753221221907839,3535240.8137577185,0.730853516768413,45004100.23005973,9.303865466289407,23.005699657091323,17.067527891922772,30.63789327365395,13.041975506919762,10.268034380340222,15.182467868444972,7698.646955690347,23399.498599908024,0.5809230479322227,1.7213983909908008,13601150.268375322,2.811816515314478,3202776.178411514,0.6621218629024838,52683.02385953444,0.010891357983845038,3255459.2022710484,0.01618297775711092
398,2017-03-12 00:00:00+00:00,8861.0,314.0,2758061.0,8783.63375796,2.12136102,15943270.362306686,7515585.63010737,2064077.11561715,0.0081507579241517,0.026820604754571563,0.0033,0.010858866931604736,28.58470804,94.05986087428244,54.53578783,219.46042013868728,0.0027961434783752214,3.29056573684992,,87.61867570722637,4845145.67928653,5042.0,6726.0,88843.41588742,292345.1002638521,57.04225201,187.70128001686447,4.97766165,16.37932287512184,383666.18703287,1262478.809438215,0.08822337997199534,0.1016331412703045,0.1226674472308998,115035.0,1.5511578242605235,429696.0,3780900.4043257004,0.7803481370001769,3734685.22578167,0.7708096872603466,45370804.8519084,9.364177644002122,21.5164481257117,16.936452136198238,30.64781782914826,12.163974547500597,10.0933957622776,14.44724288283159,8005.633235500194,26343.062426523906,0.603089426897863,1.658128886695532,12011288.636840142,2.4790356022089433,3229119.240838038,0.6664648401889828,52777.08372040872,0.010892775411487811,3281896.3245584466,0.01608127695121797
399,2017-03-13 00:00:00+00:00,8867.0,265.0,2881502.0,10873.59245283,2.90076449,23674351.598865245,8161418.018145241,2345006.1036946,0.00810180883823529,0.03953075722721191,0.0033,0.016101527628515834,27.54615005,134.40457457252057,49.23704279,214.5447872764423,0.003961239948275853,4.87925079651995,,98.14459097107687,4852046.46905025,4723.0,5971.0,98544.6361969,480823.994656493,42.89641347,209.3023595913466,6.07698963,29.651156492620977,256134.48485627,1249744.3892511826,0.09287486901908036,0.12323234976711486,0.13152175032168667,115300.0,1.6820568537841671,429840.0,3830634.032312049,0.7894883234829912,4330783.985833192,0.892568530301176,45967608.38774459,9.473859881795894,21.777429269541546,16.998622919742765,44.30175045110838,12.012606952022313,9.938690218791018,15.272439579058227,6900.789763719775,33670.68395124643,0.5191187429519303,1.9263415424254846,19757931.146822415,4.072082011755727,3262789.9247892844,0.6724564460793282,52911.488294981245,0.01090498383156216,3315701.413084266,0.015957856785953163
400,2017-03-14 00:00:00+00:00,7823.0,280.0,2495550.0,8912.67857143,2.85243021,24191598.61711717,8481048.381589374,2268849.34382424,0.00744008588791137,0.03703976001387136,0.003,0.01493521468914228,22.83362359,113.67502348257123,103.86775075,197.86667296467797,0.004016798267971957,4.97840489638076,,92.71496788004025,4859307.17180199,4461.0,6038.0,46783.59872809,232907.69697823594,28.13747833,140.07975988987954,4.009672695,19.961774177672236,169894.09413293,845801.5900975525,0.0928802593299606,0.12278769393737561,0.1305345892914526,115580.0,1.745320491530961,429984.0,3881409.505092112,0.7987577997981877,4599638.876497261,0.9465626917327733,46576914.06110534,9.585093597578252,21.565218364016392,17.287527320424157,43.262816796986414,11.656487430525065,9.926115955173222,15.167002734555254,7260.702751739882,36146.718130427085,0.5453774397641736,1.833592530766233,16772669.935539704,3.4516587123509317,3298936.6429197113,0.6788903286590047,53025.16331846382,0.010912083028247905,3351961.806238175,0.01581914305222131
