,blk,window,time,ticket_count,ticket_price,missed,pow_diff
90,13104,144,1458799151,2023,10.42126617,9.0,329507.05291048
91,13248,144,1458846149,205,19.611455,21.0,318668.57372901
92,13392,144,1458890528,184,21.11166105,12.0,300357.54887423
93,13536,144,1458932290,348,14.23876142,4.0,287663.59568359
94,13680,144,1458977540,2872,8.75411638,22.0,286112.72101888
95,13824,144,1459013555,289,21.89728033,15.0,278743.57943925
96,13968,144,1459054176,285,31.53335422,12.0,299705.43153832
97,14112,144,1459096167,347,29.18628663,12.0,320478.99535558
98,14256,144,1459139323,202,22.45739187,17.0,336073.95635022
99,14400,144,1459186208,699,12.38398852,18.0,344236.07741231
100,14544,144,1459229153,1954,10.256744,15.0,333951.99043608
101,14688,144,1459272755,246,19.75387424,11.0,329846.70698045
102,14832,144,1459318488,346,22.46161352,8.0,326297.94200149
103,14976,144,1459354078,347,18.65609361,17.0,315338.41048047
104,15120,144,1459396370,626,13.07788226,14.0,339329.42098927
105,15264,144,1459439961,1908,10.92212546,12.0,355639.08126626
106,15408,144,1459492988,22,20.4336591,7.0,362307.23420381
107,15552,144,1459532115,210,19.07924373,15.0,328017.55955583
108,15696,144,1459569850,758,11.94780088,12.0,326344.42975682
109,15840,144,1459610587,1426,10.84460291,13.0,347429.60940766
110,15984,144,1459655619,265,16.5970384,12.0,369154.96877864
111,16128,144,1459699471,57,15.84187364,8.0,372215.38780489
112,16272,144,1459743011,2513,8.25424033,13.0,370941.16955481
113,16416,144,1459788267,447,17.93621726,34.0,368856.13488624
114,16560,144,1459827868,373,25.11362739,21.0,359290.90790738
115,16704,144,1459871066,401,24.25275882,31.0,369771.74956162
116,16848,144,1459919740,253,19.89628997,17.0,375096.23952233
117,16992,144,1459964167,985,12.20309988,22.0,355117.70796042
118,17136,144,1460014747,451,13.07649225,21.0,340695.80062494
119,17280,144,1460048316,1512,11.39500356,27.0,307881.19358215
120,17424,144,1460081912,59,17.88130292,28.0,326899.91599569
121,17568,144,1460129351,120,14.67187184,15.0,380225.43568264
122,17712,144,1460175033,2870,7.33521281,16.0,388405.65727588
123,17856,144,1460222220,42,17.77997826,7.0,381464.40362211
124,18000,144,1460269566,44,21.64619683,18.0,361494.00155843
125,18144,144,1460308115,536,13.71850128,14.0,336083.40732399
126,18288,144,1460355306,2734,10.36326039,17.0,341557.63142109
127,18432,144,1460394759,182,26.02692639,11.0,328997.01090378
128,18576,144,1460445447,230,35.9726333,14.0,337183.44262381
129,18720,144,1460479144,63,31.09293709,16.0,313797.01606323
130,18864,144,1460525226,221,15.86955347,14.0,338407.73431037
131,19008,144,1460565380,2869,6.96360923,21.0,339428.10050576
132,19152,144,1460614930,606,17.59741502,18.0,352380.84954469
133,19296,144,1460649992,372,29.86764736,10.0,333973.39395407
134,19440,144,1460688818,122,33.41358765,11.0,357815.29893257
135,19584,144,1460736072,478,23.22488761,14.0,390602.9098934
136,19728,144,1460779227,429,17.52165516,11.0,388678.61750663
137,19872,144,1460816889,2501,12.82450158,14.0,387920.41245712
138,20016,144,1460871926,245,30.6055176,23.0,414055.76224088
139,20160,144,1460916219,4,41.61601517,12.0,374561.21304576
140,20304,144,1460962886,189,28.38031438,12.0,351578.01569014
141,20448,144,1461002851,669,14.64397865,79.0,327715.94199028
142,20592,144,1461045796,2860,11.96184858,43.0,328055.72902559
143,20736,144,1461084438,245,32.65017342,16.0,329197.86143445
144,20880,144,1461122143,40,49.91729053,11.0,348169.48145146
145,21024,144,1461166062,10,39.60069585,14.0,382959.14406228
146,21168,144,1461208317,190,17.10449632,23.0,397714.49664735
147,21312,144,1461261490,2880,6.50133864,22.0,409798.55504241
148,21456,144,1461301116,668,16.83724389,19.0,372312.56473935
149,21600,144,1461338515,254,30.05744638,14.0,369000.35190616
150,21744,144,1461382631,32,32.35807212,21.0,393664.69012053
151,21888,144,1461420401,145,19.43296849,23.0,401996.00472233
152,22032,144,1461460371,2860,8.40110128,26.0,433750.76061974
153,22176,144,1461504010,391,22.26700009,27.0,468407.92133266
154,22320,144,1461545197,185,35.83195997,18.0,483849.32459247
155,22464,144,1461595771,80,33.73288271,19.0,503619.18175585
156,22608,144,1461634637,728,19.08791805,17.0,472562.59519957
157,22752,144,1461678377,388,17.61696644,58.0,480883.04911459
158,22896,144,1461716701,2861,13.85913099,56.0,482040.49885178
159,23040,144,1461757456,20,38.47428194,42.0,511522.61878476
160,23184,144,1461800937,32,53.10511358,41.0,542508.99896136
161,23328,144,1461853277,35,38.00848667,38.0,556594.37093405
162,23472,144,1461894962,1184,15.61085642,41.0,509173.19544145
163,23616,144,1461939841,535,19.37312352,31.0,494807.91307541
164,23760,144,1461972252,375,20.54397079,24.0,478561.20652831
165,23904,144,1462016729,1460,17.00079549,12.0,536442.5764977
166,24048,144,1462058116,384,27.54234289,17.0,558311.07977716
167,24192,144,1462105306,234,30.6959235,18.0,581918.8064972
168,24336,144,1462145814,536,22.57371896,22.0,567229.72914718
169,24480,144,1462185721,1180,18.34291675,18.0,577750.40989731
170,24624,144,1462230125,241,25.06901121,12.0,606382.65575338
171,24768,144,1462274201,446,21.54388487,14.0,612306.13030737
172,24912,144,1462322534,2259,16.85044277,19.0,609077.00750395
173,25056,144,1462361295,348,36.77880856,15.0,573486.01879916
174,25200,144,1462402736,79,49.47770563,26.0,585397.23904179
175,25344,144,1462449999,110,36.32641536,15.0,603833.71706839
176,25488,144,1462489343,1883,17.17797855,20.0,585246.73658078
177,25632,144,1462541501,243,30.54686678,32.0,602570.89931182
178,25776,144,1462585564,143,32.42600233,21.0,553169.88737318
179,25920,144,1462621130,211,20.6259663,15.0,524510.09743196
180,26064,144,1462658240,2843,10.20324358,31.0,558605.22838653
181,26208,144,1462706960,561,25.52253857,40.0,621365.72845936
182,26352,144,1462744729,165,42.07723094,33.0,613157.74682573
183,26496,144,1462801200,79,39.46427135,38.0,649645.72165963
184,26640,144,1462836506,327,22.13047356,22.0,577197.79816514
185,26784,144,1462885863,2861,12.3289599,23.0,594196.27784413
186,26928,144,1462933485,23,32.15885727,24.0,562176.0125658
187,27072,144,1462981320,10,41.18172214,27.0,520697.45397406
188,27216,144,1463020395,374,26.44861686,23.0,476185.77116471
189,27360,144,1463056651,1546,17.22897614,37.0,476665.12787431
190,27504,144,1463089356,139,27.73738015,29.0,518606.40705251
191,27648,144,1463147410,552,24.8111418,34.0,618793.31112533
192,27792,144,1463186717,318,22.07045882,38.0,567196.66343388
193,27936,144,1463228540,2847,15.57870906,33.0,566955.07887906
194,28080,144,1463266018,101,40.76166256,101.0,576012.74231023
195,28224,144,1463306353,69,55.48408863,34.0,622104.03447813
196,28368,144,1463349306,106,40.73293322,35.0,669076.15367342
197,28512,144,1463404738,1393,19.52982834,28.0,695477.4151017
198,28656,144,1463442343,111,27.44076875,26.0,619527.607598
199,28800,144,1463487294,291,21.2963878,32.0,621678.76701779
200,28944,144,1463525631,2859,13.13255663,33.0,610365.23858481
201,29088,144,1463565462,278,34.19022594,24.0,640478.58191145
202,29232,144,1463609141,37,50.72723864,26.0,683178.29487344
203,29376,144,1463657205,23,38.8388868,24.0,701203.9786481
204,29520,144,1463696600,2051,16.59423871,25.0,672010.28926832
205,29664,144,1463738190,16,32.02522143,30.0,687350.53451053
206,29808,144,1463787454,9,30.6307456,26.0,708457.94533991
207,29952,144,1463832296,2636,14.64881651,13.0,671340.64243845
208,30096,144,1463871853,346,35.35019939,14.0,641419.40774456
209,30240,144,1463911915,168,51.76530023,14.0,653735.88504183
210,30384,144,1463952756,116,44.30156791,20.0,685070.83806457
211,30528,144,1463997860,294,24.21365918,8.0,721258.80130752
212,30672,144,1464043113,2869,12.70098319,15.0,723465.15478081
213,30816,144,1464087860,262,33.50866304,15.0,707727.85181867
214,30960,144,1464126023,15,49.93221592,15.0,687766.7340529
215,31104,144,1464174843,81,37.33127606,15.0,719261.07798737
216,31248,144,1464219454,2816,17.39683714,21.0,689507.05850333
217,31392,144,1464265483,25,45.76619562,17.0,664324.46167111
218,31536,144,1464304450,120,59.75384218,30.0,631669.24078689
219,31680,144,1464349605,192,44.30403409,25.0,646635.77301125
220,31824,144,1464384065,568,24.66578478,20.0,639565.43698899
221,31968,144,1464420248,1374,18.93441536,22.0,707194.80047623
222,32112,144,1464465114,185,29.05491449,24.0,811962.64035684
223,32256,144,1464517219,489,25.92046488,24.0,850430.20643236
224,32400,144,1464562359,337,21.87983525,18.0,787107.02669733
225,32544,144,1464614603,2860,15.31544549,15.0,740681.88225023
226,32688,144,1464654199,96,40.51454452,16.0,651999.92087014
227,32832,144,1464692256,17,55.60075416,19.0,635295.34326044
228,32976,144,1464727230,284,38.73304974,9.0,666192.15056558
229,33120,144,1464765193,552,23.57689563,16.0,755660.85105886
230,33264,144,1464814609,2861,18.1362708,14.0,858522.92025655
231,33408,144,1464866879,69,49.44307321,23.0,848310.85477267
232,33552,144,1464913256,15,68.20909987,16.0,763558.77038336
233,33696,144,1464950709,127,47.81205341,15.0,699057.77795863
234,33840,144,1464986276,1074,23.02021315,10.0,713602.74730881
235,33984,144,1465023659,572,26.64182198,20.0,791604.31158901
236,34128,144,1465066567,333,27.7867515,11.0,896083.09248322
237,34272,144,1465115756,1790,21.47637751,25.0,954983.83213051
238,34416,144,1465167020,44,39.19088784,13.0,919599.18047814
239,34560,144,1465217825,176,36.80496582,21.0,826552.37755015
240,34704,144,1465253070,1140,22.42495867,9.0,722316.87132517
241,34848,144,1465297128,489,27.73517499,20.0,736996.49267122
