,date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d,blk,PriceRealised,btc_blk_est,DailyIssuedNtv,DailyIssuedUSD,inf_pct_ann,S2F,age,notes,blk_reward,Sply_ideal,PoWSply_ideal,inflation_ideal,S2F_ideal,CapAvg,PriceAvg,CapDelta,PriceDelta,CapTop,PriceTop,CapS2Fmodel,PriceS2Fmodel,CapPlanBmodel,PricePlanBmodel,CapInflow,PriceInflow,CapFee,PriceFee,MinerIncome,FeesPct,MinerCap,PriceUSD_128DMA,PriceUSD_200DMA
3073,2017-06-03 00:00:00+00:00,879242.0,192.0,188362022.0,981052.197916667,3.38499502,41736862989.52303,12329962891.918873,595921917085.417,0.00176892607232315,4.5099689197853525,0.000904,2.3047949641737002,541.66108367975,1380993.0729579171,2400.0,5.35116285594294,6118924.683646992,2400.0,6118924.683646992,27.10406714,58.537935947269155,1.0,2549.55195151958,346.40942546585245,62.704721228076764,16370273.59440434,306209.0,780766.0,603978.49187089,1539874542.6252804,3.05139962775905,7779.701875819206,0.01689274,43.06891823351287,2382429.08176692,6074126714.775852,0.038060207652274095,0.04680175963793605,0.03512450585801466,469634.0,753.1922310775234,441648.0,2399.9999999701977,6118924.68357101,0.053511628558764894,18.687526934483586,3073.0,,12.5,16370387.5,16370387.5,0.04013344216806108,24.91687595129376,3644730788.945328,222.64324221136806,8685232102.973545,530.5489888661554,127565577613.08649,7792.513477397882,27851255270.08208,1701.3310809663042,37284222210.59637,2277.556449840936,2434356978.403123,148.70594338968354,71314614.06846996,4.356348332067376,2505671592.471593,0.028461277320913896,1830187591011.3677,1344.2618210133885,1161.8913796599252
3074,2017-06-04 00:00:00+00:00,739511.0,161.0,158161528.0,982369.739130435,3.33016911,41339921429.448494,12413760395.396902,630909476860.787,0.00161909751725103,4.088211246971128,0.00094319,2.381548933863789,439.711265539934,1110268.2340297578,2012.5,4.48662145142368,5081550.090014606,2012.5,5081550.090014606,31.58316554,57.18309713397919,1.0,2524.99383354763,338.4361979734247,63.85659838911523,16372286.09440431,271578.0,691288.0,518386.48260764,1308922671.9787366,2.64903633872748,6688.8004201304775,0.014376,36.29931135108073,1831247.03252624,4623887464.831152,0.03807971954389358,0.046859880569686964,0.03516792796570799,469795.0,758.2179008977649,441792.0,2012.4999999701977,5081550.089939355,0.044866214513572394,22.288486132421355,3074.0,,12.5,16372400.0,16372400.0,0.04012850895409347,24.919939117199394,3656989387.527606,223.36461545083097,8756771007.869297,534.853285446934,127994628563.46622,7817.7615407790845,51266369306.14581,3131.2896079715792,66921443630.09986,4087.48315563409,2439438528.493062,148.9980393957817,72424882.30249971,4.423626724141656,2511863410.795562,0.028833129218424014,1832699454422.1633,1356.797284842107,1170.806098239703
3075,2017-06-05 00:00:00+00:00,767010.0,164.0,157916253.0,962903.981707317,3.49837338,43970314462.95908,12568788322.697844,678760110082.989,0.00165097544555414,4.433395594979118,0.000989,2.655780408631501,477.576016159868,1282443.9103636588,2050.0,4.56965092011092,5504903.779266508,2050.0,5504903.779266508,27.8021795,59.85828436724336,1.0,2685.31891671537,365.6807186198259,69.79390194874908,16374336.09440428,289269.0,698666.0,588958.72158188,1581541996.2283232,3.40249992314104,9136.797407733227,0.028090525,75.43201816296602,2377211.01130126,6383569697.671349,0.03829879059917978,0.04753466715046171,0.035395106461350634,469959.0,767.5907133110005,441936.0,2049.9999999701977,5504903.77918648,0.0456965092004449,21.883509648703406,3075.0,,12.5,16374450.0,16374450.0,0.040123485063620457,24.923059360730594,3670095149.9058347,224.1370354649092,8898693172.79201,543.4536778460913,128453330246.70421,7844.796241271821,48112494777.87633,2938.2867494895354,62969438854.70438,3845.6178309558077,2444943432.2722483,149.31557641031787,73707326.21286337,4.501393264918503,2518650758.4851117,0.029264607633491823,1835218105180.6484,1370.5671595932577,1180.5561024205913
3076,2017-06-06 00:00:00+00:00,802549.0,151.0,149746147.0,991696.337748344,3.68734337,47021733324.255165,12752198143.713425,678760110082.989,0.00170869377560689,4.906243651732744,0.0010355,2.9732743068984413,512.136533199822,1470518.9722714354,1887.5,4.20693755204594,5419657.416002711,1887.5,5419657.416002711,28.49135095,62.940806231315335,1.0,2871.34167735243,389.1755158263502,84.80225039285041,16376223.59440426,299724.0,728483.0,574778.76791801,1650386231.580262,2.60581713498389,7482.191343238346,0.029932805,85.9473105165632,1898293.48394447,5450649196.296303,0.03855798870990539,0.04745528099468863,0.03599506662241274,470110.0,778.7020047815444,442080.0,1887.499999979511,5419657.415943881,0.04206937552000272,23.77026013910119,3076.0,,12.5,16376337.5,16376337.5,0.0401188605205529,24.925932267884324,3684184080.089244,224.97153014863122,9068014063.62418,553.730474632913,128946442803.12354,7874.003555202093,64065415583.281105,3912.099466275741,82862419072.36954,5059.922307160215,2450363089.6881924,149.62931322734744,75177845.18513481,4.590670416274911,2525540934.8733273,0.029767026994914056,1837743646115.5217,1385.8461412667582,1191.1649171708837
3077,2017-06-07 00:00:00+00:00,877184.0,165.0,163700196.0,992122.4,3.45563714,44332089813.91061,12828919239.236645,678760110082.989,0.00196208451875031,5.310891909345807,0.00106659,2.8870031578440893,664.01060492,1797317.3508527211,2062.5,4.59640584894414,5582692.518262344,2062.5,5582692.518262344,29.33715689,58.38044504076549,1.0,2706.76000885447,366.6358774607078,59.29067190130356,16378286.09440422,338421.0,778157.0,558277.89156651,1511124270.7198215,2.68036351816839,7255.10078017067,0.03062,82.88099147112388,2085743.63420736,5645607457.795268,0.038873758722540876,0.04727688701545843,0.03714208422207499,470275.0,783.2882613779566,442224.0,2062.4999999608845,5582692.518156468,0.045964058488569666,21.756129308047935,3077.0,,12.5,16378400.0,16378400.0,0.04011380843061593,24.929071537290717,3697390027.371187,225.74950798022948,9131529211.865458,557.5387533977271,129408650957.99155,7901.232779308031,47149709092.575676,2878.793838427622,61760904712.25458,3770.9015678603705,2455945782.206349,149.9513299529823,76975162.53598754,4.699830134380591,2532920944.7423363,0.030389879595637326,1840276567060.2642,1399.8027564860652,1200.9426481181365
3078,2017-06-08 00:00:00+00:00,823165.0,165.0,160019214.0,969813.418181818,3.54000799,45906967852.94542,12968040761.291403,678760110082.989,0.00161257881710075,4.51935460917218,0.000996,2.791353292627471,495.634162329807,1389046.2359015716,2062.5,4.59582710155208,5780287.315305381,2062.5,5780287.315305381,28.43843192,59.48273846548205,1.0,2802.56354681473,379.47174088220714,61.70083274750509,16380348.5937442,307355.0,736601.0,575993.3824513,1614258056.8645287,2.66781814149333,7476.729872880228,0.0214579,60.1371283311958,1965117.51084213,5507366701.093453,0.03892853951654643,0.04739891014018909,0.03721668425028061,470440.0,791.682831844251,442368.0,2062.499339979142,5780285.465554984,0.04595825630840924,21.758875995846353,3078.0,,12.5,16380462.5,16380462.5,0.04010875761291844,24.932210806697107,3711098886.684462,226.5579920626209,9256941874.606941,565.1248397816302,129888461033.95618,7929.529722191733,47170323720.06554,2879.6898582537065,61786791777.029274,3772.007135466348,2461726067.671904,150.2853283972271,78364208.7718891,4.784037917350372,2540090276.4437933,0.030850954195849083,1842816657336.708,1414.1313849325145,1211.3037117841213
3079,2017-06-09 00:00:00+00:00,762294.0,151.0,147004442.0,973539.350993378,3.50908106,45950079689.465645,13094619060.178675,678760110082.989,0.00160760531417488,4.509127561882222,0.001017,2.8525550954575687,451.721017229976,1267019.7536132196,1887.5,4.20539354980523,5294196.403811368,1887.5,5294196.403811368,32.20012554,58.88253790940087,1.0,2804.87226691993,385.9988216241244,57.22028588796705,16382236.09373987,280990.0,672490.0,508763.11248199,1427015544.6325986,3.04987843268849,8554.519433325167,0.02617279,73.41133281891928,2051012.74719868,5752828773.716835,0.03891814853218415,0.047327372002275055,0.037200577003363273,470591.0,799.3181752021331,442512.0,1887.49999566935,5294196.391664448,0.04205393540156437,23.778987399186445,3079.0,,12.5,16382350.0,16382350.0,0.040104136463938324,24.935083713850837,3724812841.4905596,227.36901239714885,9369806218.688114,571.9491628049843,130368449452.16959,7957.91543390021,64146898253.31697,3915.6375165310537,82963452343.82211,5064.232493604757,2467020264.0635686,150.59117997977634,79631228.52550232,4.860827793583792,2546651492.589071,0.031268993326034056,1845363308829.297,1428.3293511552097,1221.6455381990834
3080,2017-06-10 00:00:00+00:00,696034.0,141.0,136268255.0,966441.524822695,3.60375711,47781111553.67634,13258693675.548386,678760110082.99,0.00152859767008808,4.4578919716873395,0.0009492,2.7681784045122884,386.310260380023,1126607.3748688356,1762.5,3.92646823252178,5140027.85287917,1762.5,5140027.85287917,32.64424388,59.7123856491324,1.0,2916.3278597896,398.06773837674257,56.92597859516996,16383998.59373957,252722.0,603460.0,501895.48436671,1463691783.7612321,2.86672657331956,8360.314572171006,0.0223988,65.32224446585529,1729954.81793542,5045115431.72231,0.03898956776969246,0.04746009760264993,0.03734006256305025,470732.0,809.2465096166828,442656.0,1762.4999997001141,5140027.852004604,0.03926468231853703,25.468180078153733,3080.0,,12.5,16384112.5,16384112.5,0.04009982231262145,24.937766362252663,3739112191.932684,228.21731645908605,9519581483.615702,581.0291931575968,130868926717.64394,7987.606076068011,81353580218.97173,4965.4289063511915,104189566060.53539,6359.226989945353,2472160291.915573,150.8887026430899,80757835.90037116,4.9290675556594135,2552918127.815944,0.0316335392899813,1847916226957.113,1443.2404722005597,1232.487189108201
3081,2017-06-11 00:00:00+00:00,670073.0,146.0,138042915.0,945499.417808219,3.64019441,48734955097.06732,13388008892.435604,678760110082.99,0.00159587353651708,4.746470306959295,0.0008853,2.6330721492643105,359.100271440077,1068041.2555315946,1825.0,4.0652518696375,5427941.570549381,1825.0,5427941.570549381,37.97613213,60.74105150548791,1.0,2974.21455920514,390.2625580154424,73.97073849554059,16385823.59373957,225018.0,558267.0,431476.89542779,1283304864.3419666,2.9755435595948,8849.904976495942,0.019996,59.47239432586598,1661147.77638431,4940609901.513459,0.03899698577174894,0.044357035661639996,0.03719407958080831,470878.0,817.0482744334364,442800.0,1825.0,5427941.570549381,0.04065251869637498,24.598721852114195,3081.0,,12.5,16385937.5,16385937.5,0.04009535615523982,24.940544140030443,3753711751.603396,229.08288558883018,9634297140.832209,587.9653888446062,131379911306.11885,8017.900995609056,72134361327.24997,4402.242030410354,92842695207.62325,5666.0377598044615,2477588233.4861226,151.20315553944567,81825877.15590276,4.993699382139416,2559414110.6420255,0.03197055014101522,1850475641067.7551,1458.5444762611419,1243.652060314513
3082,2017-06-12 00:00:00+00:00,726296.0,147.0,142237860.0,967604.489795918,3.22800548,43680217096.06594,13531642783.165436,678760110082.99,0.00152664077284135,4.069159107207392,0.00094256,2.51233078293264,412.415898220029,1099267.0561757272,1837.5,4.09263711376264,4897733.633549828,1837.5,4897733.633549828,26.92149618,53.31846717763987,1.0,2665.43326995909,294.3590222044769,47.76181242285328,16387661.09373894,270146.0,640953.0,608720.29498178,1622503326.3437476,3.48439594448256,9287.424876134342,0.03091785,82.40946602560464,2233334.03380393,5952802836.632934,0.039955007339216614,0.04986270549049093,0.03999928000122297,471025.0,825.7214196561172,442944.0,1837.499999370426,4897733.63187174,0.04092637112360396,24.43412334262047,3082.0,,12.5,16387775.0,16387775.0,0.04009086041271619,24.94334094368341,3766662288.5299163,229.84746065861742,9764980494.635519,595.8739589974998,131833180098.54707,8044.66112305161,70476777043.44089,4300.600106403665,90796412941.92166,5540.535188185658,2482485967.1179943,151.48506873054944,82925144.21207848,5.060218400767441,2565411111.330073,0.03232431006704606,1853041052179.0852,1471.2917207686485,1253.2924517844135
